silver_module,category,source_dataset,source_type,main_category,output_path_parquet,output_path_csv_gz,output_path_metadata,row_count,binary_label_distribution,label_distribution,schema_version,license,license_compatibility,input_hash,status,duration_seconds,created_at_utc,notes
advisory_nvd_cve,"Threat Intelligence, CVE, Advisory & Taxonomy",nvd_cve,vulnerability_advisory,"Threat Intelligence, CVE, Advisory & Taxonomy",data/silver_normalized/advisory_nvd_cve/advisory_nvd_cve.parquet,data/silver_normalized/advisory_nvd_cve/advisory_nvd_cve.csv.gz,data/silver_normalized/advisory_nvd_cve/advisory_nvd_cve_metadata.json,40704,"{""1"": 40704}","{""vulnerability_advisory"": 40704}",1.0.0,NVD-Public-Domain,permissive,6f9f7bf3a4433ba4b1ab6795bb8e7c3422028d7f2b078ec50819fc3866d826b6,ok,18.407,2026-05-24T17:57:19.127493+00:00,
ai_security_giskard_prompt_injections,"AI, LLM & ML Security",giskard_prompt_injections,prompt_text,"AI, LLM & ML Security",data/silver_normalized/ai_security_giskard_prompt_injections/ai_security_giskard_prompt_injections.parquet,data/silver_normalized/ai_security_giskard_prompt_injections/ai_security_giskard_prompt_injections.csv.gz,data/silver_normalized/ai_security_giskard_prompt_injections/ai_security_giskard_prompt_injections_metadata.json,35,"{""1"": 35}","{""jailbreak_prompt"": 20, ""malicious_prompt"": 15}",1.0.0,UNKNOWN,unknown,a5ffcc9e0ecb5f37a0dc3ac1fe234f9855fa362054ce8cabb7fa4f15010a72cc,ok,0.034,2026-05-24T17:57:22.857040+00:00,
ai_security_hackaprompt,"AI, LLM & ML Security",ai_security_prompt_injection,prompt_text,"AI, LLM & ML Security",,,data/silver_normalized/ai_security_hackaprompt/ai_security_hackaprompt_metadata.json,0,{},{},1.0.0,UNKNOWN,unknown,b908499461e5a2f2dc1b92845fee8e7edbe64f73da0f2133f9e9c69c36e7e14c,blocked,0.015,2026-05-24T18:16:22.830599+00:00,HackAPrompt bronze input contains README/metadata only; no local CSV/JSON/Parquet prompt records were found.
ai_security_huggingface_prompt_injection,"AI, LLM & ML Security",huggingface,prompt_text,"AI, LLM & ML Security",data/silver_normalized/ai_security_huggingface_prompt_injection/ai_security_huggingface_prompt_injection.parquet,data/silver_normalized/ai_security_huggingface_prompt_injection/ai_security_huggingface_prompt_injection.csv.gz,data/silver_normalized/ai_security_huggingface_prompt_injection/ai_security_huggingface_prompt_injection_metadata.json,5832,"{""1"": 5832}","{""malicious_prompt"": 5832}",1.0.0,UNKNOWN,unknown,7c39bfbc9a3834eaf45474780be068711c93420c4a1d1e6353d68fd126955834,ok,0.704,2026-05-24T17:57:24.662243+00:00,
ai_security_lakera_gandalf,"AI, LLM & ML Security",huggingface_ai_security,prompt_text,"AI, LLM & ML Security",data/silver_normalized/ai_security_lakera_gandalf/ai_security_lakera_gandalf.parquet,data/silver_normalized/ai_security_lakera_gandalf/ai_security_lakera_gandalf.csv.gz,data/silver_normalized/ai_security_lakera_gandalf/ai_security_lakera_gandalf_metadata.json,1000,"{""1"": 1000}","{""malicious_prompt"": 1000}",1.0.0,UNKNOWN,unknown,31d5361d5baa4156bc53910a701d62f5650b188b78cb04231acea41176debf1c,ok,0.105,2026-05-24T17:57:25.723792+00:00,
ai_security_owasp_genai_top10,"AI, LLM & ML Security",owasp_genai_top10,cti_taxonomy,"AI, LLM & ML Security",data/silver_normalized/ai_security_owasp_genai_top10/ai_security_owasp_genai_top10.parquet,data/silver_normalized/ai_security_owasp_genai_top10/ai_security_owasp_genai_top10.csv.gz,data/silver_normalized/ai_security_owasp_genai_top10/ai_security_owasp_genai_top10_metadata.json,10,"{""1"": 10}","{""ai_security_risk"": 10}",1.0.0,CC-BY-SA-4.0,permissive,641088230a33e1941ce407d7ed2c9ee523516f28b4cddd24f0b4e447e1ea7016,ok,0.347,2026-05-24T17:57:26.656959+00:00,
api_owasp_crapi,API Security,owasp_api_security,api_request,API Security,data/silver_normalized/api_owasp_crapi/api_owasp_crapi.parquet,data/silver_normalized/api_owasp_crapi/api_owasp_crapi.csv.gz,data/silver_normalized/api_owasp_crapi/api_owasp_crapi_metadata.json,18,"{""1"": 18}","{""attack_pattern"": 18}",1.0.0,Apache-2.0,permissive,5b65e8709e11782b950aa7b8ac51aa771bca1ffa88507160c9acc8158c7b2075,ok,0.193,2026-05-24T18:14:30.004050+00:00,
blockchain_defihacklabs_incidents,Cryptocurrency & Blockchain Attacks,defihacklabs_incident_explorer,defi_incident,Cryptocurrency & Blockchain Attacks,data/silver_normalized/blockchain_defihacklabs_incidents/blockchain_defihacklabs_incidents.parquet,data/silver_normalized/blockchain_defihacklabs_incidents/blockchain_defihacklabs_incidents.csv.gz,data/silver_normalized/blockchain_defihacklabs_incidents/blockchain_defihacklabs_incidents_metadata.json,627,"{""1"": 627}","{""exploit_incident"": 627}",1.0.0,UNKNOWN,unknown,fcf5f329e129b0218409ff834d2c3f28a593baf8dfc3430d49f6c72a99e3d9d3,ok,0.249,2026-05-24T18:10:39.506567+00:00,
blockchain_smartbugs_curated,Cryptocurrency & Blockchain Attacks,smartbugs_curated,smart_contract_code,Cryptocurrency & Blockchain Attacks,data/silver_normalized/blockchain_smartbugs_curated/blockchain_smartbugs_curated.parquet,data/silver_normalized/blockchain_smartbugs_curated/blockchain_smartbugs_curated.csv.gz,data/silver_normalized/blockchain_smartbugs_curated/blockchain_smartbugs_curated_metadata.json,143,"{""1"": 143}","{""vulnerable_code"": 143}",1.0.0,UNKNOWN,unknown,39fa613bb1b9d6d5d37d5f5cb4bfa689ef33593364e5afe6e6f23932951b4a65,ok,0.116,2026-05-24T18:10:40.251415+00:00,
cti_capec_attack_patterns,"Threat Intelligence, CVE, Advisory & Taxonomy",capec,cti_taxonomy,"Threat Intelligence, CVE, Advisory & Taxonomy",,,data/silver_normalized/cti_capec_attack_patterns/cti_capec_attack_patterns_metadata.json,0,{},{},1.0.0,CAPEC-MITRE,permissive,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,blocked,0.014,2026-05-24T18:16:23.353530+00:00,No CAPEC CSV/XML source is present under data/bronze_raw/capec.
